ceg,potencia_outorgada_mw,potencia_fiscalizada_mw,fase_usina,proprietario
EOL.CV.RN.038327-9.1,31.95,31.95,Operação,100% para EOL POTIGUAR B143 SPE S.A - 31.449.173/0001-15 (PIE)
EOL.CV.RN.040584-1.1,33.6,33.6,Operação,100% para CENTRAL EOLICA MONTE VERDE V S.A - 31.199.661/0001-11 (PIE)
EOL.CV.RN.040585-0.1,46.2,46.2,Operação,100% para CENTRAL EOLICA MONTE VERDE VI S.A - 31.199.538/0001-09 (PIE)
EOL.CV.RN.040594-9.1,33.6,33.6,Operação,100% para VILA ESPIRITO SANTO I EMPREENDIMENTOS E PARTICIPACOES S.A - 34.043.696/0001-55 (PIE)
EOL.CV.RN.040595-7.1,37.8,37.8,Operação,100% para VILA ESPIRITO SANTO II EMPREENDIMENTOS E PARTICIPACOES S.A - 34.011.705/0001-26 (PIE)
EOL.CV.RN.040596-5.1,37.8,37.8,Operação,100% para VILA ESPIRITO SANTO III EMPREENDIMENTOS E PARTICIPACOES S.A - 34.043.685/0001-75 (PIE)
EOL.CV.RN.040597-3.1,37.8,37.8,Operação,100% para VILA ESPIRITO SANTO IV EMPREENDIMENTOS E PARTICIPACOES S.A - 34.011.712/0001-28 (PIE)
EOL.CV.RN.040598-1.1,37.8,37.8,Operação,100% para VILA ESPIRITO SANTO V EMPREENDIMENTOS E PARTICIPACOES S.A - 34.135.249/0001-26 (PIE)
EOL.CV.RN.040600-7.1,45.045,45.045,Operação,100% para EOL POTIGUAR B31 SPE S.A. - 34.327.393/0001-64 (PIE)
EOL.CV.RN.040601-5.1,48.51,48.51,Operação,100% para EOL POTIGUAR B32 SPE S.A - 34.327.409/0001-39 (PIE)
EOL.CV.RN.040602-3.1,58.905,58.905,Operação,100% para EOL POTIGUAR B33 SPE S.A - 34.327.417/0001-85 (PIE)
EOL.CV.RN.040625-2.1,58.8,58.8,Operação,100% para VENTOS DE SANTO ABELARDO ENERGIAS RENOVÁVEIS S/A - 23.037.514/0001-17 (PIE)
EOL.CV.RN.040816-6.1,42.0,42.0,Operação,100% para CENTRAL EOLICA BOQUEIRAO I S.A. - 31.252.889/0001-28 (PIE)
EOL.CV.RN.040818-2.1,37.8,37.8,Operação,100% para CENTRAL EOLICA BOQUEIRAO II S.A. - 31.232.196/0001-73 (PIE)
EOL.CV.RN.043218-0.1,49.5,49.5,Operação,100% para CENTRAL EOLICA CATANDUBA I S.A. - 31.724.960/0001-28 (PIE)
EOL.CV.RN.043219-9.1,49.5,49.5,Operação,100% para CENTRAL EOLICA CATANDUBA II S.A. - 33.343.327/0001-15 (PIE)
